bookID,isbn,title,authors,categories,published_year,average_rating,num_pages,ratings_count
165,60525118,Size 12 Is Not Fat,Meg Cabot,Fiction,2006,3.74,345,73592
166,60527986,Warrior of the Light,Paulo Coelho,Fiction,2004,3.7,142,21578
167,60527994,The Devil and Miss Prym,Paulo Coelho,Fiction,2006,3.6,205,46113
168,60529571,The Big Bing,Stanley Bing,Business & Economics,2006,3.08,368,26
169,60531045,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003,4.06,417,547207
170,60535113,Walt Whitman,Justin Kaplan,Biography & Autobiography,2003,3.99,464,210
171,60539097,How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004,3.75,592,10211
172,60539259,The Outsider,Richard Wright,Fiction,1953,4.16,672,1736
173,60540940,1421,Gavin Menzies,History,2004,3.59,650,11289
174,60541814,The Andromeda Strain,Michael Crichton,Fiction,2003,3.89,327,192637
175,60541830,Congo,Michael Crichton,Fiction,2003,3.58,442,140223
176,60541881,Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006,3.78,213,7733
177,60542381,Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003,4.41,96,256
178,60543493,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005,3.96,192,24
179,60545844,The Bradbury Chronicles,Sam Weller,Biography & Autobiography,2006,4.22,384,352
180,60546573,Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005,3.74,240,76
181,60548282,The Wicked Day,Mary Stewart,Fiction,2003,4.09,417,9875
182,60554738,The Game,Neil Strauss,Biography & Autobiography,2005,3.74,464,19305
183,60556501,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004,4.19,48,5012
184,60556528,Gold,Isaac Asimov,Fiction,2003,3.99,416,2393
185,60564784,The Kindness of Strangers,Katrina Kittle,Fiction,2007,4.01,400,11432
186,60566108,Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,2004,3.98,368,49529
187,60566680,Fluke,Christopher Moore,Fiction,2004,3.75,321,34773
188,60567236,Lord of Light,Roger Zelazny,Fiction,2004,4.1,296,22530
189,60570580,The Perennial Philosophy,Aldous Huxley,Philosophy,2004,4.23,336,2959
190,60572000,A Crack in the Edge of the World,Simon Winchester,History,2006,3.78,419,5242
191,60572965,Dead Witch Walking,Kim Harrison,Fiction,2004,4.04,416,97105
192,60572973,"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005,4.26,453,53112
193,60574216,"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,2004,3.54,368,126108
194,60575816,Sabriel (adult),Garth Nix,Fiction,2004,4.17,311,1296
195,60577045,Slouching Toward Nirvana,Charles Bukowski,Poetry,2006,3.99,288,1901
196,60577860,Bad Childhood---Good Life,Laura Schlessinger,Self-Help,2006,3.92,272,502
197,60578114,Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,2005,4.3,385,481
198,60578122,Cat Breaking Free,Shirley Rousseau Murphy,Fiction,2006,4.2,375,204
199,60580330,Slider,Patrick Robinson,Sports & Recreation,2004,4.18,416,64
200,60582502,The Black Dahlia Files,Don Wolfe,True Crime,2006,3.84,448,600
201,60584025,Metro Girl,Janet Evanovich,Fiction,2005,3.62,374,28414
202,60584033,Motor Mouth,Janet Evanovich,Fiction,2006,3.67,312,21885
203,60584750,Mystic River,Dennis Lehane,Fiction,2003,4.18,416,105317
204,60586540,Great Short Works of Herman Melville,Herman Melville,Fiction,2004,4.02,512,401
205,60587032,The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,2006,4.03,64,280
206,60589280,Eleven Minutes,Paulo Coelho,Fiction,2005,3.69,273,114826
207,60589469,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,2006,3.77,540,157734
208,60590157,Ulysses S. Grant,Michael Korda,Biography & Autobiography,2004,3.88,176,410
209,60590270,A Dirty Job,Christopher Moore,Fiction,2006,4.07,387,88016
210,60593083,Quicksilver,Neal Stephenson,Fiction,2004,3.93,927,29981
211,60593245,Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,2006,3.96,400,300
212,60593636,Flirting With Danger,Suzanne Enoch,Fiction,2005,3.93,384,3519
213,60594527,Lost Horizon,James Hilton,Fiction,2004,3.92,241,11794
